"word","count","nextWord","phrase"
"them to",517,"to","them"
"to his",517,"his","to"
"those who",517,"who","those"
"than the",515,"the","than"
"she is",515,"is","she"
"the whole",514,"whole","the"
"the two",513,"two","the"
"this was",510,"was","this"
"and to",508,"to","and"
"not be",508,"be","not"
"decided to",507,"to","decided"
"that would",506,"would","that"
"when we",506,"we","when"
"years ago",503,"ago","years"
"does not",501,"not","does"
"of that",500,"that","of"
"time i",499,"i","time"
"the rest",497,"rest","the"
"me i",496,"i","me"
"get the",496,"the","get"
"and not",496,"not","and"
"it in",492,"in","it"
"the fact",490,"fact","the"
"when it",486,"it","when"
"get to",484,"to","get"
"forward to",484,"to","forward"
"last week",483,"week","last"
"don't have",480,"have","don't"
"before the",480,"the","before"
"last night",479,"night","last"
"looking for",478,"for","looking"
"their own",476,"own","their"
"is it",476,"it","is"
"under the",476,"the","under"
"as it",475,"it","as"
"of an",472,"an","of"
"we will",471,"will","we"
"who are",471,"are","who"
"so that",471,"that","so"
"after a",470,"a","after"
"it i",468,"i","it"
"first time",467,"time","first"
"not only",467,"only","not"
"and is",467,"is","and"
"the people",465,"people","the"
"to this",464,"this","to"
"to play",463,"play","to"
"lots of",462,"of","lots"
"went to",462,"to","went"
"down the",462,"the","down"
"that she",462,"she","that"
"to start",461,"start","to"
"got to",461,"to","got"
"this time",461,"time","this"
"of you",460,"you","of"
"how much",460,"much","how"
"as much",460,"much","as"
"high school",458,"school","high"
"is one",458,"one","is"
"as they",458,"they","as"
"what the",457,"the","what"
"is going",456,"going","is"
"in that",455,"that","in"
"on your",454,"your","on"
"to put",454,"put","to"
"the book",454,"book","the"
"fact that",449,"that","fact"
"you do",449,"do","you"
"there were",449,"were","there"
"with his",448,"his","with"
"is so",447,"so","is"
"but he",447,"he","but"
"let me",446,"me","let"
"each other",446,"other","each"
"i wanted",445,"wanted","i"
"it all",444,"all","it"
"on his",444,"his","on"
"got a",443,"a","got"
"a small",443,"small","a"
"as an",442,"an","as"
"feel like",442,"like","feel"
"up a",442,"a","up"
"the story",442,"story","the"
"be in",441,"in","be"
"you and",440,"and","you"
"with me",440,"me","with"
"for all",440,"all","for"
"where the",439,"the","where"
"for your",438,"your","for"
"as we",437,"we","as"
"you get",437,"get","you"
"did you",437,"you","did"
"now i",437,"i","now"
"against the",437,"the","against"
"across the",437,"the","across"
"in which",437,"which","in"
"of people",435,"people","of"
"in her",435,"her","in"
"the u.s",433,"u.s","the"
"too much",431,"much","too"
"a day",431,"day","a"
"of what",431,"what","of"
"when they",430,"they","when"
"said that",430,"that","said"
"than a",430,"a","than"
"with her",430,"her","with"
"might be",427,"be","might"
"to your",427,"your","to"
"back in",425,"in","back"
"out and",424,"and","out"
"love you",423,"you","love"
"and more",423,"more","and"
"if it",422,"it","if"
"out there",421,"there","out"
"that this",419,"this","that"
"and was",419,"was","and"
"come to",417,"to","come"
"up on",417,"on","up"
"me a",416,"a","me"
"and i'm",416,"i'm","and"
"will have",416,"have","will"
"away from",416,"from","away"
"i used",416,"used","i"
"rest of",414,"of","rest"
"if we",414,"we","if"
"and all",414,"all","and"
"for an",413,"an","for"
"make the",413,"the","make"
"to all",412,"all","to"
"in fact",411,"fact","in"
"then i",411,"i","then"
"many of",411,"of","many"
"and so",410,"so","and"
"for his",410,"his","for"
"about a",410,"a","about"
"and she",409,"she","and"
"can't wait",409,"wait","can't"
"to hear",409,"hear","to"
"that will",409,"will","that"
"having a",407,"a","having"
"my own",407,"own","my"
"you need",406,"need","you"
"to try",406,"try","to"
"what a",405,"a","what"
"love to",404,"to","love"
"so far",404,"far","so"
"at this",404,"this","at"
"ready to",404,"to","ready"
"and if",403,"if","and"
"but it's",402,"it's","but"
"i guess",402,"guess","i"
"say that",401,"that","say"
"along with",401,"with","along"
"and it's",399,"it's","and"
"that a",398,"a","that"
"with an",398,"an","with"
"a week",397,"week","a"
"it a",394,"a","it"
"i found",394,"found","i"
"to her",392,"her","to"
"as you",391,"you","as"
"what we",390,"we","what"
"hard to",389,"to","hard"
"the company",389,"company","the"
"it out",388,"out","it"
"as he",388,"he","as"
"make sure",387,"sure","make"
"you think",387,"think","you"
"up for",387,"for","up"
"this one",387,"one","this"
"the more",387,"more","the"
"think i",385,"i","think"
"the big",385,"big","the"
"time and",385,"and","time"
"had the",384,"the","had"
"my favorite",384,"favorite","my"
"with you",384,"you","with"
"this morning",384,"morning","this"
"and how",384,"how","and"
"him to",383,"to","him"
"have no",382,"no","have"
"is still",381,"still","is"
"with this",381,"this","with"
"the middle",381,"middle","the"
"rather than",381,"than","rather"
"must be",381,"be","must"
"he would",381,"would","he"
"you for",380,"for","you"
"and have",379,"have","and"
"we need",378,"need","we"
"is my",377,"my","is"
"bit of",377,"of","bit"
"is just",376,"just","is"
"or a",375,"a","or"
"said it",375,"it","said"
"or the",374,"the","or"
"i went",373,"went","i"
"because the",373,"the","because"
"on their",373,"their","on"
"the country",373,"country","the"
"if you're",372,"you're","if"
"i also",372,"also","i"
"to our",371,"our","to"
"are in",371,"in","are"
"of its",371,"its","of"
"you should",370,"should","you"
"like this",369,"this","like"
"due to",369,"to","due"
"because it",369,"it","because"
"wants to",368,"to","wants"
"and her",368,"her","and"
"for some",368,"some","for"
"don't want",368,"want","don't"
"so we",367,"we","so"
"in order",367,"order","in"
"the back",366,"back","the"
"it up",366,"up","it"
"was so",366,"so","was"
"a man",366,"man","a"
"us to",366,"to","us"
"but not",366,"not","but"
"who was",365,"was","who"
"is what",365,"what","is"
"they can",365,"can","they"
"can do",364,"do","can"
"to look",364,"look","to"
"on to",360,"to","on"
"know how",359,"how","know"
"to their",359,"their","to"
"could have",358,"have","could"
"has to",358,"to","has"
"what they",358,"they","what"
"front of",356,"of","front"
"see you",356,"you","see"
"that has",356,"has","that"
"like that",356,"that","like"
"i saw",355,"saw","i"
"tried to",355,"to","tried"
"not have",355,"have","not"
"i should",354,"should","i"
"who has",354,"has","who"
"even though",353,"though","even"
"but we",353,"we","but"
"the united",353,"united","the"
"hope you",352,"you","hope"
"for us",352,"us","for"
"at home",351,"home","at"
"there's a",351,"a","there's"
"from my",351,"my","from"
"may have",349,"have","may"
"to think",349,"think","to"
"i'm going",348,"going","i'm"
"based on",348,"on","based"
"going on",346,"on","going"
"who have",346,"have","who"
"no longer",346,"longer","no"
"like it",345,"it","like"
"i knew",345,"knew","i"
"they will",345,"will","they"
"that there",345,"there","that"
"for their",344,"their","for"
"even if",344,"if","even"
"percent of",344,"of","percent"
"time for",344,"for","time"
"i see",344,"see","i"
"and there",344,"there","and"
"do i",343,"i","do"
"me that",343,"that","me"
"on it",343,"it","on"
"a way",343,"way","a"
"and for",343,"for","and"
"i hate",342,"hate","i"
"but they",342,"they","but"
"side of",342,"of","side"
"out in",341,"in","out"
"said i",341,"i","said"
"was going",341,"going","was"
"sort of",341,"of","sort"
"i wish",341,"wish","i"
"tell you",340,"you","tell"
"a while",340,"while","a"
"for her",339,"her","for"
"a time",339,"time","a"
"to meet",338,"meet","to"
"i still",338,"still","i"
"for it",338,"it","for"
