"word","count","nextWord","phrase"
"needs to be",110,"be","needs to"
"that they are",110,"are","that they"
"over the years",110,"years","over the"
"to do so",110,"so","to do"
"a group of",110,"of","a group"
"is on the",110,"the","is on"
"as it is",110,"is","as it"
"is that the",109,"the","is that"
"we want to",109,"to","we want"
"the time to",109,"to","the time"
"will not be",108,"be","will not"
"don't know what",108,"what","don't know"
"i did not",108,"not","i did"
"a lot more",108,"more","a lot"
"that this is",108,"is","that this"
"he said he",108,"he","he said"
"over the past",108,"past","over the"
"of my life",107,"life","of my"
"going to get",107,"get","going to"
"in the united",107,"united","in the"
"in the u.s",107,"u.s","in the"
"take care of",107,"of","take care"
"any of the",107,"the","any of"
"had a great",106,"great","had a"
"if you can",106,"can","if you"
"more and more",106,"more","more and"
"out of my",106,"my","out of"
"said it was",106,"was","said it"
"a few weeks",106,"weeks","a few"
"all of us",105,"us","all of"
"has to be",105,"be","has to"
"to do this",105,"this","to do"
"the only one",105,"one","the only"
"we're going to",105,"to","we're going"
"to deal with",105,"with","to deal"
"would have to",105,"to","would have"
"the only thing",104,"thing","the only"
"the next day",104,"day","the next"
"to keep the",104,"the","to keep"
"or at least",104,"least","or at"
"based on the",104,"the","based on"
"i used to",103,"to","i used"
"it in the",103,"the","it in"
"the new york",103,"york","the new"
"to talk about",103,"about","to talk"
"but i am",103,"am","but i"
"it to the",103,"the","it to"
"have to say",102,"say","have to"
"the amount of",102,"of","the amount"
"much of the",102,"the","much of"
"have been a",102,"a","have been"
"i would be",102,"be","i would"
"that you can",102,"can","that you"
"i love it",101,"it","i love"
"when he was",101,"was","when he"
"and i will",101,"will","and i"
"the story of",101,"of","the story"
"is the first",101,"first","is the"
"a pair of",101,"of","a pair"
"the ability to",101,"to","the ability"
"be a good",100,"good","be a"
"going to the",100,"the","going to"
"is the only",100,"only","is the"
"want to do",100,"do","want to"
"in the city",100,"city","in the"
"the time i",99,"i","the time"
"up with the",99,"the","up with"
"i can do",99,"do","i can"
"have a good",99,"good","have a"
"trying to get",99,"get","trying to"
"may not be",99,"be","may not"
"a few of",99,"of","a few"
"there are many",98,"many","there are"
"need to get",98,"get","need to"
"for a long",98,"long","for a"
"out in the",98,"the","out in"
"some of my",98,"my","some of"
"that i would",98,"would","that i"
"with all the",97,"the","with all"
